index,team.name,abbreviation,city,state,zip,type,lat,long,region
122,Michigan Quidditch Team,michigan-quidditch,Ann Arbor,MI,48104,College,42.2694,-83.7282,GL
123,Michigan State Quidditch,michigan-state-1,East Lansing,MI,48823,College,42.7388,-84.4764,GL
144,Ohio State Quidditch,osu-quidditch,Columbus,OH,43201,College,39.9952,-83.0047,GL
145,Ohio University Quidditch Club,ohio-university,Athens,OH,45701,College,39.3178,-82.102,GL
159,Purdue Intercollegiate Quidditch Club,purdue-quidditch-1,West Lafayette,IN,47906,College,40.444,-86.9237,GL
236,Toledo Quidditch,toledo-2,Toledo,OH,43609,College,41.6298,-83.5773,GL
250,University of Dayton Quidditch,ud-quidditch,Dayton,OH,45469,College,39.7331,-84.1804,GL
268,University of Southern Indiana Quidditch,southern-indiana-quidditch,Evansville,IN,47712,College,37.9985,-87.6347,GL
281,Western Michigan University Thestrals,wmu-thestrals,Kalamazoo,MI,49008,College,42.2624,-85.6096,GL
289,Wooster Scottish Nationals,wooster-scots,Wooster,OH,44691,College,40.8094,-81.9483,GL
