"","team.name","team.age","elo","elo.seasonstart","team.provelo","X9.19.2015","X9.26.2015","X9.27.2015","X10.3.2015","X10.10.2015","X10.11.2015","X10.17.2015","X10.18.2015","X10.24.2015","X10.31.2015","X11.1.2015","X11.7.2015","X11.8.2015","X11.14.2015","X11.15.2015","X11.21.2015","X11.22.2015","X12.5.2015","X1.9.2016","X1.16.2016","X1.17.2016","X1.23.2016","X1.24.2016","X1.30.2016","X1.31.2016","X2.6.2016","X2.7.2016","X2.13.2016","X2.14.2016","X2.20.2016","X2.21.2016","X2.27.2016","X2.28.2016","X3.5.2016","X3.12.2016","X3.19.2016","X3.20.2016","X3.26.2016","X4.16.2016","X4.17.2016","X4.23.2016"
"1","Grove City Legion of Broom",2014,1135.46298600473,1134.54240746582,9987.95241861277,1175.62901687675,1175.62901687675,1175.62901687675,1175.62901687675,1223.92343734913,1223.92343734913,1223.92343734913,1223.92343734913,1223.92343734913,1223.92343734913,1223.92343734913,1223.92343734913,1223.92343734913,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473,1135.46298600473
"2","Ohio University Quidditch Club",2014,1436.72870442221,1274.32347435193,10039.0471038507,1378.08905142703,1378.08905142703,1378.08905142703,1314.43294302178,1314.43294302178,1314.43294302178,1314.43294302178,1314.43294302178,1456.18251336857,1456.18251336857,1456.18251336857,1538.57499553503,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1569.57103487072,1572.08336220582,1436.72870442221,1436.72870442221,1436.72870442221
"3","West Virginia Mountaineers",2014,990.663606231684,1294.79115408395,4673.32637635949,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1286.34755519667,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,1144.14450053937,990.663606231684,990.663606231684,990.663606231684,990.663606231684,990.663606231684,990.663606231684,990.663606231684,990.663606231684,990.663606231684,990.663606231684,990.663606231684
"4","James Madison University Quidditch",2016,1488.53678515484,1500,9801.55202576111,1631.83152343905,1631.83152343905,1631.83152343905,1631.83152343905,1633.59200429352,1633.59200429352,1633.59200429352,1633.59200429352,1633.59200429352,1633.59200429352,1633.59200429352,1633.59200429352,1633.59200429352,1528.77760537834,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1469.61185113124,1488.53678515484,1488.53678515484,1488.53678515484,1488.53678515484,1488.53678515484,1488.53678515484,1488.53678515484,1488.53678515484,1488.53678515484,1488.53678515484,1488.53678515484,1488.53678515484
"5","Macaulay Honors College Marauders",2014,1337.34358437268,1449.54062352123,10647.5837487392,1409.66225733224,1409.66225733224,1409.66225733224,1409.66225733224,1409.66225733224,1236.59032335214,1236.59032335214,1236.59032335214,1236.59032335214,1263.92851799796,1341.48735078284,1341.48735078284,1341.48735078284,1341.48735078284,1341.48735078284,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1306.86730917583,1330.37720551911,1395.10359559234,1395.10359559234,1337.34358437268,1337.34358437268,1337.34358437268,1337.34358437268,1337.34358437268
"6","Philadelphia Honey Badgers",2014,1608.3827930586,1432.60736824787,8722.83236989361,1533.03157357437,1559.51305886757,1559.51305886757,1559.51305886757,1559.51305886757,1600.9948892482,1600.9948892482,1600.9948892482,1568.88431851383,1568.88431851383,1568.88431851383,1568.88431851383,1568.88431851383,1550.19509358739,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1603.49248661974,1589.31693986772,1589.31693986772,1608.3827930586,1608.3827930586,1608.3827930586,1608.3827930586,1608.3827930586,1608.3827930586,1608.3827930586
"7","Rutgers University Quidditch",2014,1877.01186006941,1552.14856874943,7922.96894881419,1605.71992172488,1605.71992172488,1605.71992172488,1605.71992172488,1510.83367245618,1510.83367245618,1455.73153528926,1455.73153528926,1455.73153528926,1455.73153528926,1455.73153528926,1455.73153528926,1455.73153528926,1637.9908958289,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1646.08527749824,1688.12864367092,1688.12864367092,1688.12864367092,1827.88585816698,1827.88585816698,1936.85163153159,1877.01186006941,1877.01186006941
"8","Rochester United",2016,2220.47468187983,1500,15642.0274965222,1853.71344929247,1955.25343706528,1955.25343706528,1955.25343706528,1955.25343706528,1955.25343706528,1991.97185128647,1991.97185128647,2050.97223273817,2065.96872850585,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2100.76385050351,2098.70092104908,2098.70092104908,2098.70092104908,2098.70092104908,2168.83881396337,2220.47468187983,2220.47468187983
"9","SUNY Geneseo",2014,1395.53504754622,1394.11260943882,9932.16131359058,1479.85650070412,1479.85650070412,1479.85650070412,1479.85650070412,1479.85650070412,1479.85650070412,1507.58994112518,1531.20846099136,1531.20846099136,1460.51349554115,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1429.64787404623,1395.53504754622,1395.53504754622,1395.53504754622,1395.53504754622
"10","Syracuse University Quidditch Club",2014,1349.15243668758,1344.84814653991,8911.91367475755,1348.69748268221,1348.69748268221,1348.69748268221,1348.69748268221,1348.69748268221,1348.69748268221,1348.69748268221,1348.69748268221,1348.69748268221,1355.27680442705,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1401.02781760597,1381.71464565474,1381.71464565474,1381.71464565474,1381.71464565474,1381.71464565474,1381.71464565474,1381.71464565474,1381.71464565474,1381.71464565474,1381.71464565474,1415.82747215475,1349.15243668758,1349.15243668758,1349.15243668758
