team_name,abbreviation,city,state,zip,type,lat,long,region
Wooster Scottish Nationals,wooster-scots,Wooster,OH,44691,University,40.8094,-81.9483,3
 Wizengamot Quidditch of VCU,wizengamot-of-vcu,Richmond,VA,23220,University,37.5498,-77.4588,2
 Wizards of Westwood,wizards,Los Angeles,CA,90095-1612,Community,34.0708,-118.444,4
 Wichita State University,wichita-state-1,Wichita,KS,67260,University,37.7165,-97.2968,3
 Western Washington Wyverns,wyverns,Bellingham,WA,98225,University,48.749,-122.489,12
 Virginia Quidditch Club,university-of-virginia-1,Charlottesville,VA,22903,University,38.0327,-78.5058,2
 Villanova Community Quidditch,villanova-quidditch,Villanova,PA,19085,Community,40.0399,-75.3459,2
 Utah State Quidditch Club,murderbird-quidditch,Logan,UT,84321,University,41.747,-111.823,4
 University of Vermont Quidditch,vermont,Burlington,VT,05401,University,44.484,-73.2199,1
 University of Texas at San Antonio Club Quidditch,utsa-club-quidditch-1,San Antonio,TX,78249,University,29.5612,-98.6117,6
 University of Southern Mississippi,southern-miss,Hattiesburg,MS,39406,University,31.3282,-89.3303,5
 University of Southern Indiana Quidditch,usi-eagles,Evansville,IN,47712,University,37.9985,-87.6347,3
 University of Southern California,usc-quidditch,Los Angeles,CA,90007,University,34.0294,-118.287,4
 University of South Florida Quidditch,south-florida-quidditch,Tampa,FL,33620,University,28.0695,-82.4092,5
 University of South Carolina,gamecocks,West Columbia,SC,29169,University,33.995,-81.0888,5
 University of Rochester Thestrals,ur-thestrals,Rochester,NY,14620,University,43.1317,-77.6062,1
 University of Richmond Spiders,richmond-quidditch,Richmond,VA,23173,University,37.5737,-77.5407,2
 University of Rhode Island,rhody-ridgebacks,Kingston ,RI,02881,University,41.4803,-71.5292,1
 University of Northern Colorado,unc,Greeley,CO,80631,University,40.414,-104.705,6
 University of North Texas,north-texas,Denton,TX,76201,University,33.2289,-97.1314,6
 University of Missouri,mizzou,Columbia,MO,65211,University,38.9368,-92.3221,3
 University of Miami,umiami,Coral Gables,FL,33146,University,25.7201,-80.2746,5
 University of Massachusetts Amherst Sillynannies,umass-amherst-sillynannies,Amherst,MA,01003-9359,University,42.3892,-72.5256,1
 University of Florida Quidditch,uf-quidditch,Gainesville,FL,32607,University,29.6456,-82.4033,5
 University of California Los Angeles,ucla,Los Angeles,CA,90095-1612,University,34.0708,-118.444,4
 University of British Columbia Quidditch,ubc-quidditch-2,"Vancouver,  BC,  Canada",AK,V6T 1Z4 ,University,49.255,-123.187,12
