team_name,abbreviation,city,state,zip,type,lat,long,region
Wooster Scottish National Quidditch Team,wooster-scots,Wooster,Ohio,44691,University,40.8094,-81.9483,3
 Wizengamot Quidditch of VCU,wizengamot-of-vcu,Richmond,VA,23220,University,37.5498,-77.4588,2
 Wizards of Westwood,wizards,Los Angeles,CA,90095-1612,University,34.0708,-118.444,4
 Winthrop University Quidditch Team,winthrop-quidditch,Rock Hill,SC,29733,University,34.9415,-81.0309,5
 Wichita State University,wichita-state,Wichita,KS,67260-0126,University,37.7165,-97.2968,3
 Virginia Tech Phoenixes,vt-quidditch,Blacksburg,VA,24060,University,37.2288,-80.4273,2
 Villanova Community Quidditch,villanova-quidditch,Villanova,PA,19085,Community,40.0399,-75.3459,2
 University of Vermont Quidditch,vermont,Burlington,VT,5401,University,44.484,-73.2199,1
 University of Texas at San Antonio Club Quidditch,roadrunner-quidditch,San Antonio,Tx,78249,University,29.5612,-98.6117,6
 University of Southern Mississippi,southern-miss,Hattiesburg,MS,39406,University,31.3282,-89.3303,5
 University of Southern Indiana Quidditch,usi-eagles,Evansville,IN,47712,University,37.9985,-87.6347,3
 University of Southern California,usc-quidditch,Los Angeles,CA,90007,University,34.0294,-118.287,4
 University of South Florida Quidditch,south-florida-quidditch,Tampa,FL,33620,University,28.0695,-82.4092,5
 University of South Carolina,gamecocks,West Columbia,SC,29169,University,33.995,-81.0888,5
 University of South Alabama,usa-quidditch,Mobile,AL,36688,University,30.6966,-88.1741,5
 University of Rochester Thestrals,ur-thestrals,Rochester,NY,14620,University,43.1317,-77.6062,1
 University of Richmond Spiders,richmond-quidditch,Richmond,VA,23173,University,37.5737,-77.5407,2
 University of Rhode Island,rhody-ridgebacks,Kingston ,RI,2881,University,41.4803,-71.5292,1
 University of Oklahoma,crimson-firebolts,Norman,OK,73019,University,35.2212,-97.4448,6
 University of Northern Colorado,unc,Greeley,CO,80631,University,40.414,-104.705,6
 University of North Texas Quidditch,unt-quidditch,Denton,TX,76203,University,33.2147,-97.1327,6
 University of North Carolina at Greensboro,spartans,Greensboro,NC,27402,University,36.0681,-79.952,2
 University of Missouri,mizzou,Columbia,MS,65203,University,38.9348,-92.3639,3
 University of Miami,umiami,Coral Gables,FL,33146,University,25.7201,-80.2747,5
 University of Massachusetts Amherst,umass-amherst,Amherst,MA,01003-9359,University,42.3892,-72.5256,1
 University of Florida Quidditch,uf-quidditch,Gainesville,FL,32607,University,29.6456,-82.4033,5
 University of Dayton Quidditch Club,dayton-flyers,Dayton,OH,45469,University,39.7331,-84.1804,3
 University of Colorado Boulder Basilisks,boulder-basilisks,Boulder,CO,80302,University,40.0172,-105.285,6
 University of Chicago Phoenixes ,uc-phoenixes,Chicago,IL,60637,University,41.7813,-87.6051,3
 University of California Los Angeles,ucla,Los Angeles,CA,90095-1612,University,34.0708,-118.444,4
